1	16
10	11
11	7
12	14
13	14
14	12
15	20
16	10
17	7
18	16
19	11
2	8
20	4
21	5
22	23
23	2
24	6
25	18
26	12
27	8
28	4
29	4
3	4
30	8
31	12
32	12
33	12
34	22
35	15
36	19
37	13
38	16
39	12
4	10
40	14
41	12
42	14
43	13
44	8
45	16
46	14
47	21
48	10
49	4
5	6
50	6
51	14
52	8
53	10
54	4
55	12
56	18
57	6
58	20
59	20
6	22
60	12
61	14
62	8
63	8
64	18
65	20
66	24
67	6
68	18
69	20
7	12
70	6
71	20
72	14
73	8
74	22
75	8
76	4
77	10
78	10
79	10
8	12
80	10
81	10
82	10
83	12
84	16
85	14
86	18
87	6
88	8
89	6
9	19
90	16
91	8
92	10
93	16
94	12
95	8
